"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"CONTROL",1,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Control number","ALL","Character","NA",,"000000000001 : 999999999999: 000000000001 to 999999999999",,,,,"CONTROL can be used to link records across datasets and between survey years. However, in the metro data for 1998, 2002, 2004, 2007, and 2009 CONTROL must be combined with SMSA to uniquely identify housing units and link records. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001."
"CONTROLM",6,"Admin",1,"Interview Status",1,"2013 Metro","PUF","Original control number for returning metropolitan case","HOUSEHOLD","Character","NA",,"000000000000 : 999999999999: 000000000000 to 999999999999",,,,,
"DATE",7,"Admin",1,"Interview Status",1,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Date of interview","HOUSEHOLD","Character","JDATE",,"0101YYYY : 1231YYYY: January 1, YYYY to December 31, YYYY (MMDDYYYY)",,,,,
"DATE",7,"Admin",1,"Interview Status",1,"2013 Metro","PUF","Date of interview","HOUSEHOLD","Character","JDATE",,"01012013 : 12312013: January 1, 2013 to December 31, 2013 (MMDDYYYY)",,,,,
"HISTRY",8,"Admin",1,"Interview Status",1,"2013 National, 2011 National, 2011 Metro, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Status of unit","HOUSEHOLD","Character","NA",,"1: Returning sample unit from a previous enumeration||8: Added unit within current sample unit / property",,,,,
"HUHIS",9,"Admin",1,"Interview Status",1,"2013 National, 2011 National","PUF","What happened to old unit","HOUSEHOLD","Character","NA",,"1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Converted to storage, garage or office||6: Other||B: Not applicable",,,,,
"HUHIS",9,"Admin",1,"Interview Status",1,"2013 Metro","PUF","What happened to old unit","HOUSEHOLD","Character","NA",,"1: Moved||2: Demolished||6: Other||B: Not applicable",,,,,
"ISTATUS",10,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2007 Metro, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Interview status","HOUSEHOLD","Character","NA",,"1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview",,,,,
"LANG",11,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National","PUF","Language of interview","HOUSEHOLD","Character","NA",,"1: English||2: Spanish||3: Other||D: Don't know||R: Refused||Blank: Not reported",,,,,
"NEWC",12,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro","PUF","New construction in last 4 years","HOUSEHOLD","Character","NA",,"1: Yes||2: No",,,,,
"PERSINT",13,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Personal / telephone interview","HOUSEHOLD","Character","NA",,"1: Personal visit||2: Telephone interview||B: Not applicable",,,,,
"RESPTYP",14,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Type of respondent","HOUSEHOLD","Character","NA",,"1: Owner||2: Manager||3: Neighbor||4: Real estate agent||5: URE occupant||6: Regular occupant (non-owner)||7: Other||D: Don't know||R: Refused||Blank: Not reported",,,,,
"REUAD",15,"Admin",1,"Interview Status",1,"2013 National","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD",,"03: New construction||04: Mobile home moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||D: Don't know||B: Not applicable",,,,,
"REUAD",15,"Admin",1,"Interview Status",1,"2013 Metro, 2009 Metro","PUF","Reason unit was added to sample","HOUSEHOLD","Character","JREUAD",,"03: New construction||04: Mobile home moved in||06: Building relisted due to structural changes||07: Unit created when original living quarters split into more units||08: Unit created when original living quarters merged to fewer units||09: Conversion of nonresidential unit||10: Other||11: Sample adjustment||D: Don't know||B: Not applicable",,,,,
"SAMEDU",16,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1997 National","PUF","Same unit as last enumeration period","HOUSEHOLD","Character","JAMEDU",,"1: Yes||2: No||B: Not applicable",,,,,
"SAMEHH",17,"Admin",1,"Interview Status",1,"2013 National, 2011 National, 2004 Metro, 2001 National, 1999 National","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA",,"1: Yes||2: No||3: Don't know",,,,,
"SAMEHH",17,"Admin",1,"Interview Status",1,"2013 Metro, 2011 Metro, 2007 Metro, 2003 National, 2002 Metro","PUF","Same household members in unit as in previous enumeration","HOUSEHOLD","Character","NA",,"1: Yes||2: No",,,,,
"SAMEHH2",18,"Admin",1,"Interview Status",1,"2013 National, 2011 National, 2005 National","PUF","Same household members in unit as in previous enumeration (recode)","HOUSEHOLD","Character","NA",,"1: Same household (SAMEHH=1) and current year and prior year are regular interviews||2: Different household (SAMEHH=2) and current year and prior year are regular interviews||3: Occupied and don't know if same household (SAMEHH=3) and current year and prior year are regular interviews||4: New household, current year is regular interviews, prior year is URE or vacant interview||5: New household, current year is regular interview, prior year is noninterview or unit is new to sample||B: Not applicable",,,,,
"SAMEHH2",18,"Admin",1,"Interview Status",1,"2013 Metro, 2011 Metro, 2009 Metro, 2007 Metro","PUF","Same household members in unit as in previous enumeration (recode)","HOUSEHOLD","Character","NA",,"1: Same household and current year and prior year are regular interviews||2: Different household and current year and prior year are regular interviews||4: New household, current year is regular interview, prior year is URE or vacant interview||5: New household, current year is regular interview, prior year is noninterview or unit is new to sample||B: Not applicable",,,,,
"STATUS",19,"Admin",1,"Interview Status",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Interview status","HOUSEHOLD","Character","NA",,"1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview",,,,,
