Table,NAME,FMTName,Type,Value,Label,Flat,Metro
AHS2021,ACPRIMARY,ACPRIMARY,C,01,Electric powered central air conditioning system,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,02,Piped gas powered central air conditioning system,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,03,Liquefied petroleum gas powered central air conditioning system,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,04,Other fuel source powered air conditioning system,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,05,1 room air conditioner,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,06,2 room air conditioners,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,07,3 room air conditioners,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,08,4 room air conditioners,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,09,5 room air conditioners,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,10,6 room air conditioners,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,11,7 or more room air conditioners,YES,YES
AHS2021,ACPRIMARY,ACPRIMARY,C,12,No air conditioning,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,01,Secondary electric powered central air conditioning system,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,02,Secondary piped gas powered central air conditioning system,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,03,Secondary liquefied petroleum gas powered central air conditioning system,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,04,Secondary other fuel source powered air conditioning system,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,05,Secondary 1 room air conditioner,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,06,Secondary 2 room air conditioners,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,07,Secondary 3 room air conditioners,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,08,Secondary 4 room air conditioners,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,09,Secondary 5 room air conditioners,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,10,Secondary 6 room air conditioners,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,11,Secondary 7 or more room air conditioners,YES,YES
AHS2021,ACSECNDRY,ACSECNDRY,C,12,No secondary air conditioning,YES,YES
AHS2021,ADEQUACY,ADEQUACY,C,1,Adequate,YES,YES
AHS2021,ADEQUACY,ADEQUACY,C,2,Moderately inadequate,YES,YES
AHS2021,ADEQUACY,ADEQUACY,C,3,Severely inadequate,YES,YES
